dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time
eurosat,80,2,0,4,1,0.42499999994687504,0.42499999994687504,925.557371377945,15.425956189632416
eurosat,80,2,0,4,1,0.42499999994687504,0.42499999994687504,925.557371377945,15.425956189632416
eurosat,80,2,0,4,2,0.42499999994687504,0.42499999994687504,1209.4829540252686,20.158049233754475
eurosat,80,2,0,4,2,0.42499999994687504,0.42499999994687504,1209.4829540252686,20.158049233754475
eurosat,80,2,0,4,3,0.42499999994687504,0.42499999994687504,1277.9722061157227,21.299536768595377
eurosat,80,2,0,4,3,0.42499999994687504,0.42499999994687504,1277.9722061157227,21.299536768595377
eurosat,80,3,0,3,1,0.42499999994687504,0.42499999994687504,1840.3398604393005,30.672331007321677
eurosat,80,3,0,3,1,0.42499999994687504,0.42499999994687504,1840.3398604393005,30.672331007321677
eurosat,80,3,0,3,2,0.42499999994687504,0.42499999994687504,1485.0325844287872,24.75054307381312
eurosat,80,3,0,3,2,0.42499999994687504,0.42499999994687504,1485.0325844287872,24.75054307381312
eurosat,80,3,0,3,3,0.42499999994687504,0.42499999994687504,1873.1169729232788,31.21861621538798
eurosat,80,3,0,3,3,0.42499999994687504,0.42499999994687504,1873.1169729232788,31.21861621538798
eurosat,80,3,0,4,1,0.42499999994687504,0.42499999994687504,2142.88995885849,35.7148326476415
eurosat,80,3,0,4,1,0.42499999994687504,0.42499999994687504,2142.88995885849,35.7148326476415
eurosat,80,3,0,4,2,0.42499999994687504,0.42499999994687504,2452.8584730625153,40.88097455104192
eurosat,80,3,0,4,2,0.42499999994687504,0.42499999994687504,2452.8584730625153,40.88097455104192
eurosat,80,3,0,4,3,0.42499999994687504,0.42499999994687504,2575.3319544792175,42.92219924132029
eurosat,80,3,0,4,3,0.42499999994687504,0.42499999994687504,2575.3319544792175,42.92219924132029
eurosat,80,4,0,3,1,0.42499999994687504,0.42499999994687504,1577.1200215816498,26.285333693027496
